Friday,3:54 PM,320,Junior Jazz Duo/Trio,Le Freak,DANCE est Joie
Friday,3:57 PM,321,Junior Jazz Duo/Trio,Bite Your Tongue,Premier Dance
Friday,4:00 PM,322,Junior Jazz Duo/Trio,Bang Bang,DV8 Dance Complex - DV8 The Company
Friday,4:02 PM,323,Senior Jazz Solo,Shut It Down,Premier Dance
Friday,4:05 PM,324,Senior Jazz Solo,Juke Box,High Pointe Performing Arts Studio
Friday,4:07 PM,325,Senior Jazz Solo,I Can't Get You Off My Mind,Premier Dance
Friday,4:10 PM,326,Senior Jazz Solo,Fallin,Radiant Dance Studio
Friday,4:13 PM,327,Junior Jazz Large Group,Somebody's Watching Me,Elite Dance of Tulsa
Friday,4:15 PM,328,Junior Jazz Large Group,Disco Snails,DANCE est Joie
Friday,4:19 PM,329,Junior Jazz Large Group,YaYa,Premier Dance
Friday,4:21 PM,330,Junior Jazz Production,Free Woman,DV8 Dance Complex - DV8 The Company
Friday,4:26 PM,331,Junior Tap Duo/Trio,Good Morning,Premier Dance
Friday,4:28 PM,332,Junior Tap Duo/Trio,Butter,High Pointe Performing Arts Studio
Friday,4:31 PM,333,Junior Tap Duo/Trio,Runaway Baby,Elite Dance of Tulsa
Friday,4:33 PM,334,Junior Contemporary Duo/Trio,Speyside,Elite Dance of Tulsa
Friday,4:35 PM,335,Junior Contemporary Duo/Trio,Father Said,Elite Dance of Tulsa
Friday,4:38 PM,336,Junior Contemporary Duo/Trio,The Woods,Elite Dance of Tulsa
Friday,4:41 PM,337,Junior Contemporary Duo/Trio,Seen Unsent,Elite Dance of Tulsa
Friday,4:44 PM,338,Junior Jazz Large Group,Red Light Green Light,Premier Dance
Friday,4:48 PM,339,Junior Broadway Duo/Trio,Kansas City,DANCE est Joie
Friday,4:51 PM,340,Pro Reveler Contemporary Solo,I'm Worried It Will Always Be You,Elite Dance of Tulsa
Friday,4:54 PM,341,Pro Reveler Contemporary Solo,Born To Die,DV8 Dance Complex - DV8 The Company
Friday,4:58 PM,342,Pro Reveler Contemporary Solo,Resolve,Elite Dance of Tulsa
Friday,5:00 PM,343,Senior Jazz Solo,My Prerogative,DV8 Dance Complex - DV8 The Company
Friday,5:03 PM,344,Senior Jazz Solo,Harlem Nocturne,Elite Dance of Tulsa
Friday,5:05 PM,345,Senior Contemporary Solo,You're Gonna Go Far,High Pointe Performing Arts Studio
Friday,5:08 PM,346,Senior Jazz Solo,End of Time,Premier Dance
Friday,5:11 PM,347,Junior Broadway Large Group,I Gotcha,High Pointe Performing Arts Studio
Friday,5:13 PM,348,Junior Contemporary Duo/Trio,Shout,DV8 Dance Complex - DV8 The Company
Friday,5:16 PM,349,Junior Contemporary Duo/Trio,Seasons,Elite Dance of Tulsa
Friday,5:18 PM,350,Junior Contemporary Duo/Trio,Somebody That I Used To Know,Elite Dance of Tulsa
Friday,5:21 PM,351,Junior Jazz Duo/Trio,Long Cool Woman In A Black Dress,DANCE est Joie
Friday,5:24 PM,352,Junior Contemporary Large Group,Ode To The Stars,Elite Dance of Tulsa
Friday,5:27 PM,353,Junior Lyrical Duo/Trio,Rescue,DV8 Dance Complex - DV8 The Company
